id,start,duration,attendance_status,status,topic,service_id,contractor_id,student_id,paying_client_id,charge_rate,tutor_rate,startDate,commRate,commissionOld,newCommRate,commissionNew,,month,Oct-24
7663313,2022-08-24T16:30:00Z,1,,cancelled,11+ Preparation,552885,1749410,1749576,1749574,70,53,24/08/2022 16:30,17,17,12,12,,,
7663583,2022-08-24T18:00:00Z,1,,cancelled,Maths & English,552816,1749410,1749421,1749420,65,48,24/08/2022 18:00,17,17,22,22,,,
7663660,2022-08-25T16:00:00Z,1,,cancelled,11+ Preparation,552872,1749410,1749557,1749556,70,53,25/08/2022 16:00,17,17,12,12,,,
7516266,2022-08-25T17:00:00Z,2,,cancelled,Maths,552825,1751334,1749458,1748975,58,48,25/08/2022 17:00,10,20,10,20,,,
7663711,2022-08-25T17:30:00Z,1,,cancelled,English & 11+ Exam Technique,552877,1749410,1749559,1749558,70,50,25/08/2022 17:30,20,20,20,20,,,
7786616,2022-08-27T10:00:00Z,1,,complete,7+ Preparation,572552,1749613,1771995,1765910,65,43,27/08/2022 10:00,22,22,22,22,,,
7766536,2022-08-29T16:00:00Z,1,,complete,11+ Preparation,571165,1749613,1795153,1772048,70,50,29/08/2022 16:00,20,20,17,17,,,
7629823,2022-08-30T16:00:00Z,1,,cancelled,7+ Preparation,561238,1749613,1771995,1765910,68,50,30/08/2022 16:00,18,18,18,18,,,
7516116,2022-08-30T17:00:00Z,1,,cancelled,Maths,552861,1751334,1749541,1749500,68,50,30/08/2022 17:00,18,18,24,24,,,
7629656,2022-08-30T17:15:00Z,1.5,,complete,"Maths, English, Science & History",552865,1749613,1749548,1749547,68,50,30/08/2022 17:15,18,27,24,36,,,
7651554,2022-08-31T11:00:00Z,2,,complete,Business Studies - Session 4,554683,1756419,1756776,1751232,70,65,31/08/2022 11:00,5,10,5,10,,,
7630093,2022-08-31T16:00:00Z,1,,complete,11+ ISEB Preparation,561260,1749613,1772022,1751233,70,50,31/08/2022 16:00,20,20,20,20,,,
7663314,2022-08-31T16:30:00Z,1,,cancelled,11+ Preparation,552885,1749410,1749576,1749574,70,53,31/08/2022 16:30,17,17,12,12,,,
7803322,2022-08-31T17:00:00Z,2,,complete,Maths,552825,1751334,1749458,1748975,58,48,31/08/2022 17:00,10,20,10,20,,,
7663427,2022-08-31T18:00:00Z,1,,cancelled,Maths & English,552816,1749410,1749421,1749420,65,48,31/08/2022 18:00,17,17,22,22,,,
7651552,2022-09-01T11:00:00Z,2,,complete,Business Studies - Session 5,554683,1756419,1756776,1751232,70,65,01/09/2022 11:00,5,10,5,10,,,
7663661,2022-09-01T16:00:00Z,1,,complete,11+ Preparation,552872,1749410,1749557,1749556,70,53,01/09/2022 16:00,17,17,12,12,,,
7516267,2022-09-01T17:00:00Z,2,,complete,Maths,552825,1751334,1749458,1748975,58,48,01/09/2022 17:00,10,20,10,20,,,
7663712,2022-09-01T17:30:00Z,1,,cancelled,English & 11+ Exam Technique,552877,1749410,1749559,1749558,70,50,01/09/2022 17:30,20,20,20,20,,,
7827396,2022-09-03T09:00:00Z,1,,cancelled,7+ Preparation,554684,1749410,1756905,1751160,70,55,03/09/2022 09:00,15,15,22,22,,,
